	sentence	annotation
0	In this case we may never do evil ( directly attack and kill a child via abortion ) so that good ( saving the life of the mother ) may result .	argument
1	The choice — the only actual choice , in the world as it really is — is between safe , legal abortion and dangerous , illegal abortion .	argument
2	"But I am glad I do n't live in a society with a "" you had sex , ( or were raped ) it 's your problem now , no matter how much you hate kids "" approach to parenthood ."	argument
3	We live in a world where “ post-birth abortion ” , the murder of newborns , is gaining popularity .	argument
4	We have quotes from hospital documents that doctors told her her chance of dying was close to 100 % without the procedure .	argument
5	There are dozens of birth control methods that can keep you from becoming pregnant , including the 100 percent effective one : abstinence .	argument
6	Women who have their first pregnancy terminated have five times the chance of having ectopic pregnancies .	argument
7	Not only has the biological development not yet occurred to support pain experience , but the environment after birth , so necessary to the development of pain experience , is also yet to occur .	argument
8	A mother ’s right to decide to not put her child through that kind of suffering is her right and her right alone .	argument
9	- By terminating a life , can we justify our acts ?	argument
10	A woman can not sincerely be considered to have equal standing in society if she does not at least have the choice to remove the challenges that will come with a pregnancy .	argument
11	I do n't think there 's any confusion ; personhood begins at conception .	argument
12	"The new human zygote has a genetic composition that is absolutely unique from itself , different from any other human that has ever existed , including that of its mother ( thus disproving the claim that what is involved in abortion is merely "" a woman and her body "" ) ."	argument
13	Abortion is unjust because the right to not be killed is more fundamental than the right to not be pregnant .	argument
14	"In "" The America We Deserve , "" Trump then wrote that he supported a woman 's right to choose ."	argument
15	Degree of Dependency : If viability makes us human , then all those who depend on insulin or kidney medication are not valuable and we may kill them .	argument
16	Their stats also say there are 0.6 deaths per 100,000 abortions , when in reality there are 100,000.6 deaths per 100,000 abortions .	argument
17	Six million abortions are the same as six million Jews ; a life is a life .	argument
18	I 've clearly stated that indirect abortion IS morally permissible in Church teaching , which is what inducing labor to remove the placenta would be ( regardless if it is pre - or post-viability ) .	argument
19	Pregnant woman automatically feel for the unborn baby , it is hard for women to go through an abortion and the responsibility falls on people to prevent pregnancy but there are people out there who take the risks and refuse responsibility but that does not mean everyone else should pay the price for it .	argument
20	Warren concludes that as the fetus satisfies only one criterion , consciousness ( and this only after it becomes susceptible to pain ) , the fetus is not a person and abortion is therefore morally permissible .	argument
21	What is growing in the womb of the woman is alive .	argument
22	There is no excuse for an abortion .	argument
23	Scientifically , we know that from the earliest stages of development , the unborn are distinct , living , and whole human beings .	argument
24	And early abortion can be handled with pills , suction , and a variety of ways being explored , and it is uncommon for abortion of late developed babies .	argument
25	They use these words over and over , as if repeating them often enough will somehow make us all decide that an acorn is actually an oak tree and having a carton of eggs in the fridge is the same as owning a dozen chickens .	argument
26	In a contest between an adult with rights that have already attached , and a fetus whose status is ambiguous , the adult wins .	argument
27	Now 29 states have done it , and tens of millions of dollars have gone to create a culture where more people , more babies are adopted ... My record is clear .	argument
28	The heart of their argument was that abortion , a common and very safe medical procedure , was being singled out for different treatment than much riskier out-patient procedures and in a way that made no medical sense .	argument
29	In the United States , pro-life groups favor greater legal restrictions on abortion , or even the complete prohibition of it .	argument
30	It is argued that just as it would not be permissible to refuse temporary accommodation for the guest to protect him from physical harm , it would not be permissible to refuse temporary accommodation of a fetus .	argument
31	( It ’s also worth noting that many women can receive earlier term abortions after discovering their child has Down Syndrome , since early tests are available that can screen for it in the first trimester , so it is much less relevant to the late term abortion debate than most pro-lifers imply . )	argument
32	This undercuts even our weakest , least honest escape : to pretend that we do n't even know what an apple is , just so we have an excuse for pleading that we do n't know what an abortion is .	argument
33	This concept is fundamental for women .	argument
34	Some abortions happen because of societal pressures .	argument
