	sentence	annotation
0	model monthly notizie scritte cost around billion egyptian pounds	non_argument
1	trumpets constructed brass	non_argument
2	according proponents policies uniforms improve school attitude spirit brings net decrease truancy absenteeism	argument
3	cantons abrahamic religions judaism christianity islam judaism	non_argument
4	historians sympathized millau viaduct worlds professionals make observations natural resources	non_argument
5	mechanics ensured virginia twelve celebrities tried ban	non_argument
6	planets intended meaning free adopted mexican–american	non_argument
7	fiji francophonie canada additionally one gdp	non_argument
8	get way said antigun forces people victims violent crimes n’t able fight back women abused n’t protect criminals know intended victims access black market unable defend	argument
9	camille pissarro dogs led everincreasing traffic congestion	non_argument
10	every individual right live whether criminal	argument
11	abraham lincoln sixteenth president united states	non_argument
12	report goes say risks faced developers new nuclear plants large variable individually bring even largest utility company knees financially	argument
13	cochran said smrs thorium features make attractive traditional plants	argument
14	predecessor ancient geographers philip johan von strahlenberg published daily circulation	non_argument
15	states california arkansas tennessee kentucky recently even resorted purchasing sodium thiopental black market ensure continue carrying lethal injections	argument
16	identical twin dignity compromised mere existence sibling identical genome	argument
17	valleys cats undergoing domestication independently functions	non_argument
18	parts manufactures significance cultural innovations state secularism officially	non_argument
19	little recent immigration turn cause pressure differences	non_argument
20	supremacy federal laws state local laws extend extremely powerful federal gun law others render moot	argument
21	creates another form crime deterrent	argument
22	feel murderers executed first time chances come prison kill another innocent person	argument
23	abortion exposes woman number health risks including limited infection sterility rare cases death	argument
24	youths different countries regions wear distinctive colorful school uniform serves define distinguish	argument
25	weakness lonely planet travel guides information historical maps borders europe prior	non_argument
26	abort life human nature kill human nature	argument
27	study also found behavioral problems shift towards less severe infractions	argument
28	several cities cabildos anarchy products oxidation fats proteins	non_argument
29	choice others already made	argument
30	anonymous sayst report post marijuana kill much people drinking smoking cigarettes	argument
31	children free concentrate lessons	argument
32	belgica essentially records guilty microdaily range	non_argument
33	largest ever chelonian	non_argument
34	adidas puma observation much western medicine laid foundation later astronomy	non_argument
35	california see single positive result proposition passes feinstein said statement	argument
36	argument people like patsy rodriguez believes marijuana medicine	argument
37	informationsordbogenmedicine little animals interactive exhibits rides educational shows	non_argument
38	flourishing minimum future downgrade subsequent parade draw attendees contributing	non_argument
39	beetles argentine contingent including helicopters boats water two	non_argument
40	semifinal constitutionality word derived	non_argument
41	italy mexico connected road alley must yield	non_argument
42	deck created national action party conservative party founded	non_argument
43	every snowflake precious sight god peculiar way showing spontaneous abortion critical part reproduction one key mechanisms producing healthy babies	argument
44	high price pay studies show convicted murderers commit crimes violence	argument
45	catholic one mechanical work transalaska pipeline system led	non_argument
46	companies paying increased wages help attract young talent city benefit	argument
47	furthermore criminal may organized campaigns propaganda build sympathy one sinned	argument
48	even suppose slightly deformed human clone agree terrible moral offense caused come existence	argument
49	york mets available time residents mediterranean	non_argument
50	expressionists iron steel chemicals food processing pharmaceuticals shipbuilding products	non_argument
51	assigned precipitation inches	non_argument
52	possible societal division created severe racism	argument
53	conventional mining caused dust radon inhalation workers resulting high rates lung cancer respiratory diseases types mining caused serious contamination groundwater	argument
54	available frenchtoastcom accessed aug time eliminate schools status respect many students give clothing labels price tags	argument
55	also severely attack lightyears	non_argument
56	violinists fiddlers thing	non_argument
57	fully favour declaration	argument
58	africa arab influences visible north sea	non_argument
59	coupled laws aimed eliminating early access abortion current late term abortion bans seem preventing women accessing abortion goodfaith attempt balancing women reproductive rights bioethical concerns	argument
60	synchronous open newfoundland referred tsenacommacah metro systems	non_argument
61	western europe different views divide different naming scheme	non_argument
62	minimum wage kept cost living averages cola	argument
63	nuclear weapons future perfecting ultimate weapon mass destruction needed justification annihilation entire cities left behind multigenerational legacy radiation poisoning	argument
64	report also found higher wages push people poverty line unquestionably good outcome	argument
65	low pressure pottery metallurgy introduced china europe shared	non_argument
66	people think making kids wear uniforms reform schools equivalent painting walls crumbling building merely cosmetic	argument
67	operas french billings protons electrons atom bronze	non_argument
68	homesteaders lured popocatepetl olympic medals	non_argument
69	access fddi made use protectionist policies helping local	non_argument
70	armed citizens fare worse police counterparts	argument
71	etc n’t trusted belief npps safe environmentally harmless	argument
72	researchers university mississippi natural center natural products research found marijuana available today may five times stronger stuff available back	argument
73	still rejects round capacity magazines began opposition silencers hearing facts evidence knowledgeable gun owners changed position	argument
74	rule means punishments unjust unless like crime principle unacceptable require rape rapists torture torturers inflict horrible degrading punishments offenders	argument
75	ancestry photography today pioneers kinetic energy	non_argument
76	analytic usually used weather climatic conditions produce environments ranging	non_argument
77	many trades nse make per day	non_argument
78	revolution network psychological exercise—is	non_argument
79	new russian tubes found world depending upon international currency fluctuations however	non_argument
80	ethology animal hotel chains casino hotel list cities tend	non_argument
81	fetuses aborted later pregnancy born alive left die killed doctors	argument
82	cloning techniques eventually perfected mammals suitable human trials	argument
83	moche people worship lobsters	non_argument
84	every citizen goes battery testing preparation military service mentally unfit service given access guns prepared military	argument
85	nubian sandstone link light rail networks serve san francisco earthquake tsunami	non_argument
86	bend particles hospital rift valley systems form online posts	non_argument
87	french literature chapter government ensure it’s correct patient	non_argument
88	last week announced join efforts filibuster gun control proposals seek restrict rights americans never violated law current gun control proposals discussed washington democrats admission authors stopped tragedies newtown aurora effective plan deal future violence must focus addressing mental illness identifying americans forbidden guns	argument
89	let also recognize science god kept within bounds	argument
90	according national rifle association allies since gun laws directed criminals course pay attention laws ’re called criminals gun control n’t possibly effective except making harder lawabiding citizens guns defend	argument
91	flemish assimilate neighborhoods argued	non_argument
92	employees may making slightly money others left unemployed	argument
93	half canadian rockies imperial president	non_argument
94	thou evil afraid beareth sword vain minister god revenger execute wrath upon doeth evil	argument
95	brazil christian access water tariffs trained	non_argument
96	cause problems world	argument
97	making hard criminals get guns makes hard everyone	argument
98	time median income women national median income african americans hispanics make median income respectively increasing minimum wage necessary create equitable income distribution disadvantaged groups	argument
99	yet mason tvert key colorado national legalization advocate said idea eliminating legal regulated market way undermine black market logically unsound	argument
100	efficient routing printing cambridge perseus pub isbn	non_argument
101	lftr proponents getting free ride public expense like waste tokomak fusion research billion usd yet yielded commercial fusion reactor design	argument
102	uranium mining milling leeching plant construction decommissioning produce substantial amounts ghg	argument
103	departments tampa town	non_argument
104	temperate zone operate ones vehicle see driving shelly gary	non_argument
105	legacy environmental contamination health costs miners mines catastrophic	argument
106	really statistically significant data yet demonstrate increased use among adults teens said larry wolk head colorado public health department	argument
107	according james galbraith phd professor government university texas austin ecause payroll incometax revenues rise result increase minimum wage federal deficit come	argument
