	sentence	annotation
0	Was Abraham Lincoln the sixteenth President of the United States?	non_argument
1	Did Lincoln sign the National Banking Act of 1863?	non_argument
2	Did his mother die of pneumonia?	non_argument
3	How many long was Lincoln's formal education?	non_argument
4	When did Lincoln begin his political career?	non_argument
5	What did The Legal Tender Act of 1862 establish?	non_argument
6	Who suggested Lincoln grow a beard?	non_argument
7	When did the Gettysburg address argue that America was born?	non_argument
8	Did Lincoln beat John C. Breckinridge in the 1860 election?	non_argument
9	Was Abraham Lincoln the first President of the United States?	non_argument
10	Did Lincoln start his political career in 1832?	non_argument
11	Did Lincoln ever represent Alton & Sangamon Railroad?	non_argument
12	Which county was Lincoln born in?	non_argument
13	When did Lincoln first serve as President?	non_argument
14	Who assassinated Lincoln?	non_argument
15	Did Lincoln win the election of 1860?	non_argument
16	Who was the general in charge at the Battle of Antietam?	non_argument
17	Why did Lincoln issue the Emancipation Proclamation?	non_argument
18	Do scholars rank lincoln among the top three presidents?	non_argument
19	Did lincoln have 18 months of schooling?	non_argument
20	Was Lincoln chosen as a presidential candidate in 1860?	non_argument
21	How old was Lincoln in 1816?	non_argument
22	When was the first photgraph of lincoln taken?	non_argument
23	How long was Lincoln's legal Career?	non_argument
24	What trail did Lincoln use a Farmers' Almanac in? 	non_argument
25	Did Abraham Lincoln live in the Frontier?	non_argument
26	Did Lincoln's Wife's Family support slavery?	non_argument
27	Volta became professor of physics in the Como high school in what year?	non_argument
28	What ac phaenomenis inde pendentibus?	non_argument
29	What may be called Volta's Law of the electrochemical series?	non_argument
30	Is it true that volta became professor of physics?	non_argument
31	Is it true that volta entered retirement in spain?	non_argument
32	When did he become professor?	non_argument
33	What did Alessandro Volta publish in 1800?	non_argument
34	Is Volta buried in the city of Como?	non_argument
35	Is the electrolyte sulphuric acid?	non_argument
37	NOTTTT  FOUND	non_argument
38	Are Count Volta 's original instruments and papers on display there ?	non_argument
39	Is Volta buried in the city of Como ?	non_argument
40	Was his 1800 paper written in French ?	non_argument
41	Did he not realize that the frog 's leg served as both a conductor of electricity -LRB- we would now call it an electrolyte -RRB- and as a detector of electricity ?	non_argument
42	Does this not make the zinc rod the negative electrode and the copper rod the positive electrode ?	non_argument
43	What happened with $ its invention?	non_argument
44	HWhat happened at the electromotive force -LRB- emf -RRB- of a galvanic cell?	non_argument
45	What happened in 1800?	non_argument
46	What was an Italian savant?	non_argument
47	Who is most noted for his contributions to the theory of molarity and molecular weight?	non_argument
48	Who graduated in ecclesiastical law at the early age of 20 and began to practice?	non_argument
49	When did he publish another memoria?	non_argument
50	When did he become a professor?	non_argument
51	Is it true that he became a professor in 1820?	non_argument
52	Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?	non_argument
53	Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?	non_argument
54	Is he most noted for his contributions to the theory of molarity and molecular weight?	non_argument
55	Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?	non_argument
56	He is what?	non_argument
57	The unification of Italy did what?	non_argument
58	Was King Victor Emmanuel III there to pay homage to Avogadro ?	non_argument
59	Is Avogadro 's number commonly used to compute the results of chemical reactions ?	non_argument
60	Is it approximately 6.0221415 10 23 ?	non_argument
61	Did the scientific community not reserve great attention to his theory ?	non_argument
62	Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?	non_argument
63	Can the title of this famous 1811 paper be roughly translated into english?	non_argument
64	What happened in french?	non_argument
65	What happened in 1833?	non_argument
66	Who determined the dependence of the boiling of water with atmospheric pressure?	non_argument
67	What is named after him?	non_argument
68	When did he publish a collection?	non_argument
69	Is it true that he published a collection in 1738?	non_argument
70	Is it true that thermometer had 100 for the freezing point?	non_argument
71	Was Celsius born in Uppsala in Sweden?	non_argument
72	Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?	non_argument
73	Is The Celsius crater on the Moon named after him?	non_argument
74	Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?	non_argument
75	The Celsius crater on the Moon is what?	non_argument
76	Is the Celsius crater on the Moon named after him ?	non_argument
77	Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?	non_argument
78	Was Celsius born in Uppsala in Sweden ?	non_argument
79	Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?	non_argument
80	What happened from 1730 to 1744?	non_argument
81	What happened in 1745?	non_argument
82	Are beetles insects?	non_argument
83	Can beetles be found in polar regions?	non_argument
84	Do beetles antennae function primarily as organs of smell?	non_argument
85	What are the three sections of a beetle?	non_argument
86	Which defense mechanism uses colour or shape to deceive potential enemies?	non_argument
87	Which type of beetle is a pest of potato plants?	non_argument
88	How can beetle larvae be differentiated from other insect larvae?	non_argument
89	What do beetles eat?	non_argument
90	What are the similarities between beetles and grasshoppers?	non_argument
91	Are certain species of beetles considered pests?	non_argument
92	Is a beetle's general anatomy uniform?	non_argument
93	Are beetles endopterygotes?	non_argument
94	How many species of beetles are there?	non_argument
95	When are sperm cells transferred to the female?	non_argument
96	What is the study of beetles called?	non_argument
97	Is it possible that there are more than 350,000 species of beetles?	non_argument
98	Is the Adephaga suborder larger than the Polyphaga suborder?	non_argument
99	Do carrion beetles eat dung?	non_argument
100	What are prey of various animals including birds and mammals?	non_argument
101	What was given by Aristotle for the hardened shield like forewings?	non_argument
102	Who or what vary greatly in form within the coleoptera?	non_argument
103	Are many beetles territorial?	non_argument
104	Are beetles endopterygotes with complete metamorphosis?	non_argument
105	Oxygen is what?	non_argument
106	Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?	non_argument
107	Have coleopterists formed organisations to facilitate the study of beetles ?	non_argument
108	Is the study of beetles called coleopterology , and its practitioners are coleopterists ?	non_argument
109	May a single female lay from several dozen to several thousand eggs during her lifetime ?	non_argument
110	Can beetles be found in almost all habitats?	non_argument
111	What happened on plants and fungi?	non_argument
112	Was Calvin Coolidge the twenty-ninth vice president?	non_argument
113	Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?	non_argument
114	Did Coolidge graduate from Black River Academy?	non_argument
115	When did he drop John from his name?	non_argument
116	When did Coolidge meet and marry Grace Anna Goodhue?	non_argument
117	What period of rapid economic growth did the United States experience during Coolidge's presidency?	non_argument
118	What did Coolidge do after graduating from Amherst?	non_argument
119	Of what state was Coolidge governor?	non_argument
120	Who appointed Harlan Fiske Stone to the Supreme Court?	non_argument
121	Was Coolidge the thirteenth President of the United States?	non_argument
122	Was Calvin Coolidge Republican?	non_argument
123	Was Calvin Coolidge a governor of MassachuS08_setts?	non_argument
124	When was Coolidge born?	non_argument
125	Where did Coolidge's grandfather had government offices?	non_argument
126	Which state were Coolidge born in?	non_argument
127	Is Calvin Jr. older than John Coolidge?	non_argument
128	Did Coolidge get in Amherst College?	non_argument
129	What caused Calvin Jr.'s death?	non_argument
130	Was John Calvin Coolidge Jr. was born in Las Vegas?	non_argument
131	Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?	non_argument
132	Did Coolidge meet and marry Grace Anna Goodhue?	non_argument
133	What year did Coolidge open his own law office?	non_argument
134	What fraternity was Coolidge a member of?	non_argument
135	In 1905 Coolidge met and married whom?	non_argument
136	Why did Coolidge not attend law school?	non_argument
137	Have there been other US presidents that have visited Cuba?	non_argument
138	What years were Coolidge's two sons born in?	non_argument
139	What thrust him into the national spotlight?	non_argument
140	What to be born on the fourth of July?	non_argument
141	Who was the elder of two children of John Calvin Sr and Victoria Coolidge?	non_argument
142	Who or what placed as high as sixth in the voting?	non_argument
143	Is it true that he appointed stone to the supreme court?	non_argument
144	What do well - received and he have in common?	non_argument
145	What did Coolidge address in 1924?	non_argument
146	Was Coolidge more outspoken?	non_argument
147	Was Coolidge admitted to the bar?	non_argument
148	What emigrated from Cambridge?	non_argument
149	What graduated from Black?	non_argument
150	What Retrieved on May?	non_argument
151	He later what?	non_argument
152	They were what?	non_argument
153	The Republicans retained what?	non_argument
154	(NNP Harding #)(NNP Death )))(PP (IN in )(NP (NP (NN office ))(PP (IN for )(NP (DT a )(JJ full )(NN description )(NNP Vice )(NNP President )(person (NNP Coolidge ))))))))(VP (VP (VBD was )(VP (VBG visiting )(NP (PRP$ his )(NN family )(NN home ))))(, , )(SBAR (WHNP (WDT which ))(S (VP (VBD did )(RB not )(VP (VB have )(NP (NP (NN electricity ))(CC or )(NP (DT a )(NN telephone )))(, , )(PP (IN in )(NP (location (NNP Vermont ))))(SBAR (WHADVP (WRB when ))(S (NP (PRP he ))(VP (VBD received )(NP (NP (NN word ))(PP (IN of )(NP (NP (NNP Harding )(POS 's ))(NN death ))))))))))))))(. . )))	non_argument
155	Was 364 Stone later appointed Chief Justice by President Franklin D. Roosevelt ?	non_argument
156	Did Coolidge not publish his autobiography in 1929 and write a syndicated newspaper column , `` Calvin Coolidge Says , '' from 1930 -- 1931 ?	non_argument
157	Were the more well-known Coolidges , such as architect Charles Allerton Coolidge , and diplomat Archibald Cary Coolidge , descended from other branches of the family that had stayed in MassachuS08_setts ?	non_argument
158	Is the genius of the average the most convincing proof of $ his strength?	non_argument
159	What happened from tuberculosis?	non_argument
160	What happened from black river academy , vermont?	non_argument
161	Did France cede nearly all of its colonies in Europe in 1763?	non_argument
162	Is Canada a member of the OECD?	non_argument
163	Is Canada's official language Zulu?	non_argument
164	What is one significant non-official language?	non_argument
165	In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?	non_argument
166	What was the Consitution Act formerly called?	non_argument
167	Which countries established colonies in Canada?	non_argument
168	How has Canada helped UN peacekeeping efforts?	non_argument
169	What percentage of the population don't speak English or French at home?	non_argument
170	Is Canada bilingual?	non_argument
171	Did Canadian soldiers win the Battle of Vimy Ridge in 1917?	non_argument
172	Is an official language of Canada German?	non_argument
173	How many provinces and territories does Canada have?	non_argument
174	What is Canada's national unemployment rate?	non_argument
175	Where is the most densely populated part of Canada?	non_argument
176	What is the largest country in the world?	non_argument
177	What is the largest religious group in Canada?	non_argument
178	When did Canada have one of the largest armed forces in the world?	non_argument
179	What have been inhabited for millennia by aboriginal peoples?	non_argument
180	European books and maps began referring to this region as Canada in what year?	non_argument
181	What was Canada's most important industry until the 1800s?	non_argument
182	Is it true that it angered many residents of the thirteen colonies?	non_argument
183	How do cuba and declining participation relate?	non_argument
184	Is it true that provinces have a large degree of autonomy?	non_argument
185	What did Canada adopt in 1965?	non_argument
186	What arrived in Britain?	non_argument
187	Are Canada 's two official languages English and French ?	non_argument
188	Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?	non_argument
189	Is Canada a geographically vast and ethnically diverse country ?	non_argument
190	Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?	non_argument
191	Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?	non_argument
192	Did continental European immigrants not S08_settle the prairies ?	non_argument
193	Is it the world 's second largest country by total area?	non_argument
194	What happened in 1867?	non_argument
195	Are ducks in the Arctic Northern Hemisphere migratory?	non_argument
196	Is a drake a male?	non_argument
197	"Do all ducks ""quack""?"	non_argument
198	What is the name of a specialized species of duck adapted to catch large fish?	non_argument
199	What animal attracts the most humor and silliness?	non_argument
200	What is an economic use of a duck?	non_argument
201	Who is Daffy Duck?	non_argument
202	What makes it more difficult for a diving duck to fly?	non_argument
203	What are the reasons for hunting wild ducks?	non_argument
204	Do ducks forage underwater?	non_argument
205	Is foie gras often made from ducks?	non_argument
206	What economic uses to ducks have?	non_argument
207	What kind of ducks feed on land?	non_argument
208	What unrelated water birds are ducks sometimes confused with?	non_argument
209	What does the word duck mean?	non_argument
210	What are some common predators of ducks?	non_argument
211	How does a Mallard's tongue work?	non_argument
212	Are diving ducks heavier tha dabbling ducks?	non_argument
213	Are adult ducks fast fliers?	non_argument
214	Are ducks an accepted presence in some populated areas?	non_argument
215	What types of unrelated water birds with similar forms are ducks sometimes confused with?	non_argument
216	Why are ducklings particularly vulnerable?	non_argument
217	What are some economic uses for duck?	non_argument
218	What allows a duck to filter water out of the side of their beaks and keep food inside?	non_argument
219	What expression is part of a conceptual framework for testing computer systems?	non_argument
